iter	Passed	Remaining
845	4386	820
846	4390	815
847	4393	809
848	4397	803
849	4406	799
850	4414	794
851	4423	789
852	4439	786
853	4470	785
854	4483	781
855	4493	776
856	4509	773
857	4524	769
858	4543	766
859	4559	762
860	4566	757
861	4566	757
862	4574	746
863	4580	741
864	4584	735
865	4588	730
866	4594	724
867	4598	719
868	4602	713
869	4602	713
870	4608	702
871	4626	699
872	4642	695
873	4646	689
874	4650	683
875	4653	678
876	4658	672
877	4662	666
878	4665	661
879	4669	655
880	4674	649
881	4678	644
882	4683	638
883	4688	633
884	4692	627
885	4696	621
886	4700	616
887	4705	610
888	4705	610
889	4708	599
890	4712	593
891	4712	593
892	4715	582
893	4720	577
894	4728	571
895	4732	566
896	4736	560
897	4741	555
898	4745	549
899	4748	543
900	4752	538
901	4758	532
902	4762	527
903	4767	521
904	4775	516
905	4779	511
906	4783	505
907	4786	499
908	4791	494
909	4793	488
910	4797	482
911	4801	477
912	4806	471
913	4809	466
914	4813	460
915	4816	455
916	4816	455
917	4821	444
918	4825	438
919	4825	438
920	4832	428
921	4844	423
922	4849	417
923	4860	412
924	4872	407
925	4883	402
926	4895	397
927	4907	393
928	4921	388
929	4929	382
930	4929	382
931	4936	372
932	4936	372
933	4946	361
934	4954	356
935	4973	351
936	4984	346
937	4992	341
938	5003	336
939	5011	330
940	5018	325
941	5021	319
942	5029	314
943	5033	308
944	5037	303
945	5060	298
946	5065	293
947	5069	287
948	5074	281
949	5078	276
950	5084	270
951	5088	265
952	5096	259
953	5100	254
954	5105	248
955	5111	243
956	5115	237
957	5119	231
958	5123	226
959	5128	220
960	5133	215
961	5139	209
962	5144	204
963	5148	198
964	5156	193
965	5162	187
966	5167	182
967	5173	176
968	5177	171
969	5182	165
970	5187	160
971	5191	154
972	5195	148
973	5200	143
974	5205	137
975	5209	132
976	5214	126
977	5218	121
978	5223	115
979	5228	110
980	5236	104
981	5242	99
982	5246	93
983	5249	88
984	5254	82
985	5258	77
986	5263	71
987	5269	66
988	5276	60
989	5285	55
990	5292	49
991	5300	44
992	5311	38
993	5322	33
994	5338	27
995	5345	22
996	5351	16
997	5372	11
998	5394	5
999	5418	0
